,Date,PV Quantity,PV Output kW,PV Quantity Cumsum,PV Output kW Cumsum
0,1-Dec-2007,8123,12270.120999999981,8123,12270.120999999981
1,1-Jan-2008,528,884.7230000000002,8651,13154.843999999981
2,1-Feb-2008,645,949.5220000000005,9296,14104.365999999982
3,1-Mar-2008,684,973.169000000001,9980,15077.534999999983
4,1-Apr-2008,875,1338.428,10855,16415.962999999985
5,1-May-2008,1031,1493.1170000000004,11886,17909.079999999987
6,1-Jun-2008,928,1329.326000000001,12814,19238.405999999988
7,1-Jul-2008,1147,1639.5160000000008,13961,20877.921999999988
8,1-Aug-2008,1177,1615.378999999999,15138,22493.300999999985
9,1-Sep-2008,1329,1898.3749999999998,16467,24391.675999999985
10,1-Oct-2008,1821,2499.9840000000004,18288,26891.659999999985
11,1-Nov-2008,1769,2413.3569999999986,20057,29305.016999999985
12,1-Dec-2008,2130,3008.813999999997,22187,32313.830999999984
13,1-Jan-2009,2170,2767.0260000000007,24357,35080.85699999998
14,1-Feb-2009,2990,3787.654999999997,27347,38868.51199999998
15,1-Mar-2009,3573,4658.800000000001,30920,43527.31199999998
16,1-Apr-2009,3429,4500.791999999994,34349,48028.10399999998
17,1-May-2009,4082,5321.093000000002,38431,53349.19699999998
18,1-Jun-2009,4345,5508.519000000007,42776,58857.715999999986
19,1-Jul-2009,5169,6531.848000000013,47945,65389.564
20,1-Aug-2009,5724,7370.3720000000085,53669,72759.936
21,1-Sep-2009,6268,8638.781000000014,59937,81398.71700000002
22,1-Oct-2009,7818,10705.45000000002,67755,92104.16700000004
23,1-Nov-2009,9279,12749.680999999999,77034,104853.84800000004
24,1-Dec-2009,8069,11927.149000000027,85103,116780.99700000006
25,1-Jan-2010,8398,11972.967000000026,93501,128753.9640000001
26,1-Feb-2010,10295,15756.054000000024,103796,144510.01800000013
27,1-Mar-2010,13228,21752.684000000063,117024,166262.7020000002
28,1-Apr-2010,13413,22832.52500000008,130437,189095.22700000028
29,1-May-2010,16686,28834.327000000034,147123,217929.5540000003
30,1-Jun-2010,18160,34019.54500000003,165283,251949.09900000034
31,1-Jul-2010,16808,34568.53300000006,182091,286517.6320000004
32,1-Aug-2010,17390,37272.16800000007,199481,323789.80000000045
33,1-Sep-2010,19022,41379.604999999996,218503,365169.40500000044
34,1-Oct-2010,21170,45547.48099999992,239673,410716.88600000035
35,1-Nov-2010,24984,54784.03299999994,264657,465500.9190000003
36,1-Dec-2010,18654,41027.435000000056,283311,506528.35400000034
37,1-Jan-2011,25466,58108.74499999998,308777,564637.0990000003
38,1-Feb-2011,28850,64580.978999999934,337627,629218.0780000002
39,1-Mar-2011,35528,80117.77499999994,373155,709335.8530000001
40,1-Apr-2011,33179,75990.19699999999,406334,785326.05
41,1-May-2011,50289,115958.51100000016,456623,901284.5610000002
42,1-Jun-2011,68867,167345.66200000007,525490,1068630.2230000002
