Postcode,Month,Capacity (kW)
20XX,2007-01,3
20XX,2007-02,8
20XX,2007-03,7
20XX,2007-04,1
20XX,2007-05,7
20XX,2007-06,14
20XX,2007-07,15
20XX,2007-08,13
20XX,2007-09,27
20XX,2007-10,26
20XX,2007-11,29
20XX,2007-12,17
20XX,2008-01,14
20XX,2008-02,33
20XX,2008-03,39
20XX,2008-04,29
20XX,2008-05,41
20XX,2008-06,35
20XX,2008-07,22
20XX,2008-08,28
20XX,2008-09,31
20XX,2008-10,38
20XX,2008-11,34
20XX,2008-12,68
20XX,2009-01,46
20XX,2009-02,82
20XX,2009-03,59
20XX,2009-04,70
20XX,2009-05,49
20XX,2009-06,103
20XX,2009-07,95
20XX,2009-08,140
20XX,2009-09,97
20XX,2009-10,172
20XX,2009-11,260
20XX,2009-12,143
20XX,2010-01,211
20XX,2010-02,270
20XX,2010-03,396
20XX,2010-04,589
20XX,2010-05,782
20XX,2010-06,1151
20XX,2010-07,1161
20XX,2010-08,1159
20XX,2010-09,1291
20XX,2010-10,1393
20XX,2010-11,1538
20XX,2010-12,1119
20XX,2011-01,1426
20XX,2011-02,1499
20XX,2011-03,1362
20XX,2011-04,1218
20XX,2011-05,1469
20XX,2011-06,1603
20XX,2011-07,214
20XX,2011-08,186
20XX,2011-09,168
20XX,2011-10,247
20XX,2011-11,270
20XX,2011-12,219
20XX,2012-01,225
20XX,2012-02,238
20XX,2012-03,262
20XX,2012-04,294
20XX,2012-05,629
20XX,2012-06,1340
20XX,2012-07,295
20XX,2012-08,349
20XX,2012-09,322
20XX,2012-10,375
20XX,2012-11,455
20XX,2012-12,1077
20XX,2013-01,354
20XX,2013-02,391
20XX,2013-03,413
20XX,2013-04,290
20XX,2013-05,389
20XX,2013-06,528
20XX,2013-07,450
20XX,2013-08,365
20XX,2013-09,443
20XX,2013-10,592
20XX,2013-11,640
20XX,2013-12,640
20XX,2014-01,421
20XX,2014-02,487
20XX,2014-03,668
20XX,2014-04,461
20XX,2014-05,764
20XX,2014-06,913
20XX,2014-07,939
20XX,2014-08,616
20XX,2014-09,1220
20XX,2014-10,1078
20XX,2014-11,906
20XX,2014-12,911
20XX,2015-01,755
20XX,2015-02,1013
20XX,2015-03,1102
20XX,2015-04,478
20XX,2015-05,916
20XX,2015-06,883
20XX,2015-07,1153
20XX,2015-08,763
20XX,2015-09,680
20XX,2015-10,922
20XX,2015-11,786
20XX,2015-12,754
20XX,2016-01,628
20XX,2016-02,739
20XX,2016-03,596
20XX,2016-04,758
20XX,2016-05,1049
20XX,2016-06,728
20XX,2016-07,850
20XX,2016-08,1088
20XX,2016-09,1195
20XX,2016-10,1254
20XX,2016-11,1092
20XX,2016-12,1230
20XX,2017-01,660
20XX,2017-02,822
20XX,2017-03,851
20XX,2017-04,1088
20XX,2017-05,1223
20XX,2017-06,1120
20XX,2017-07,1096
20XX,2017-08,1353
20XX,2017-09,1352
20XX,2017-10,1521
20XX,2017-11,1903
20XX,2017-12,2310
20XX,2018-01,1242
20XX,2018-02,1955
20XX,2018-03,1820
20XX,2018-04,1863
20XX,2018-05,2528
20XX,2018-06,1368
20XX,2018-07,2116
20XX,2018-08,2461
20XX,2018-09,1981
20XX,2018-10,2056
20XX,2018-11,2563
20XX,2018-12,2989
20XX,2019-01,2035
20XX,2019-02,2370
20XX,2019-03,2416
20XX,2019-04,1895
20XX,2019-05,2324
20XX,2019-06,2555
