,solar units added,cumulative units added,solar output added,cumulative output added
2008-01-01,127,1882.0,287.94599999999997,2710.745
2008-02-01,172,2054.0,258.11400000000003,2968.859
2008-03-01,192,2246.0,294.41700000000003,3263.276
2008-04-01,183,2429.0,303.25199999999995,3566.528
2008-05-01,233,2662.0,339.387,3905.915
2008-06-01,215,2877.0,287.727,4193.642
2008-07-01,265,3142.0,386.019,4579.661
2008-08-01,279,3421.0,387.24800000000005,4966.909
2008-09-01,283,3704.0,450.02700000000004,5416.936
2008-10-01,352,4056.0,503.81499999999994,5920.751
2008-11-01,360,4416.0,481.485,6402.236000000001
2008-12-01,506,4922.0,722.23,7124.466
2009-01-01,471,5393.0,626.5219999999999,7750.988
2009-02-01,661,6054.0,871.453,8622.440999999999
2009-03-01,791,6845.0,1113.565,9736.006000000001
2009-04-01,828,7673.0,1212.777,10948.783
2009-05-01,931,8604.0,1228.69,12177.473000000002
2009-06-01,981,9585.0,1256.172,13433.645
2009-07-01,1084,10669.0,1431.9850000000001,14865.630000000001
2009-08-01,1491,12160.0,1890.7,16756.33
2009-09-01,1784,13944.0,2318.089,19074.419
2009-10-01,1798,15742.0,2565.7659999999996,21640.185
2009-11-01,2151,17893.0,3022.8559999999998,24663.041
2009-12-01,1835,19728.0,2932.866,27595.907
2010-01-01,1790,21518.0,2767.0190000000002,30362.926
2010-02-01,2431,23949.0,4135.7390000000005,34498.665
2010-03-01,3346,27295.0,6417.002,40915.667
2010-04-01,3823,31118.0,7426.807,48342.474
2010-05-01,4878,35996.0,9765.464,58107.938
2010-06-01,6362,42358.0,14053.594,72161.532
2010-07-01,6826,49184.0,15160.102,87321.634
2010-08-01,7285,56469.0,17037.064,104358.698
2010-09-01,8263,64732.0,18998.659999999996,123357.35800000001
2010-10-01,9376,74108.0,21406.776999999995,144764.135
2010-11-01,10708,84816.0,24496.193,169260.328
2010-12-01,7200,92016.0,16812.36,186072.68800000002
2011-01-01,11654,103670.0,28148.006,214220.69400000002
2011-02-01,11252,114922.0,27210.569,241431.263
2011-03-01,12074,126996.0,30259.34,271690.603
2011-04-01,10068,137064.0,25357.939,297048.542
2011-05-01,13366,150430.0,31503.985,328552.527
2011-06-01,16423,166853.0,37408.215,365960.74199999997
2011-07-01,2290,169143.0,6011.7919999999995,371972.534
2011-08-01,2023,171166.0,5143.396999999999,377115.931
2011-09-01,1790,172956.0,4586.234,381702.165
2011-10-01,1898,174854.0,5105.366,386807.53099999996
2011-11-01,2187,177041.0,6285.144000000001,393092.675
2011-12-01,2051,179092.0,5333.927,398426.602
2012-01-01,1643,180735.0,4334.1759999999995,402760.778
2012-02-01,2396,183131.0,6101.621000000001,408862.399
2012-03-01,3319,186450.0,8070.891,416933.29
2012-04-01,3667,190117.0,8673.136999999999,425606.42699999997
2012-05-01,7469,197586.0,17871.952,443478.37899999996
2012-06-01,12220,209806.0,31519.135,474997.51399999997
2012-07-01,3170,212976.0,8436.039,483433.55299999996
2012-08-01,3485,216461.0,9401.422,492834.975
2012-09-01,3255,219716.0,9438.547999999999,502273.523
2012-10-01,3609,223325.0,11158.998,513432.521
2012-11-01,4359,227684.0,13217.986,526650.507
2012-12-01,6834,234518.0,21336.059999999998,547986.5669999999
2013-01-01,2979,237497.0,9971.176,557957.7429999999
2013-02-01,3437,240934.0,11849.969000000001,569807.7119999999
2013-03-01,3072,244006.0,11499.310999999998,581307.0229999999
2013-04-01,2678,246684.0,10443.429,591750.4519999999
2013-05-01,3256,249940.0,12346.107999999998,604096.5599999999
2013-06-01,2578,252518.0,10254.928,614351.4879999999
2013-07-01,3236,255754.0,12867.105,627218.5929999999
2013-08-01,3332,259086.0,13602.619,640821.2119999998
2013-09-01,3210,262296.0,13474.962,654296.1739999998
2013-10-01,3182,265478.0,13383.563000000002,667679.7369999997
2013-11-01,2854,268332.0,12299.271,679979.0079999997
2013-12-01,2531,270863.0,12200.976999999999,692179.9849999996
2014-01-01,2215,273078.0,9198.761,701378.7459999997
2014-02-01,2568,275646.0,10670.785,712049.5309999997
2014-03-01,2706,278352.0,11878.148000000001,723927.6789999998
2014-04-01,2776,281128.0,11532.237000000001,735459.9159999997
2014-05-01,3310,284438.0,15682.572000000002,751142.4879999998
2014-06-01,3051,287489.0,13925.348000000002,765067.8359999998
2014-07-01,3329,290818.0,15624.328999999998,780692.1649999998
2014-08-01,3203,294021.0,15391.664999999999,796083.8299999998
2014-09-01,3897,297918.0,18090.453999999998,814174.2839999999
2014-10-01,4209,302127.0,19246.472999999998,833420.7569999999
2014-11-01,3827,305954.0,18937.182,852357.9389999999
2014-12-01,3296,309250.0,16670.144,869028.0829999999
2015-01-01,2771,312021.0,13751.68,882779.7629999999
2015-02-01,3323,315344.0,17811.615999999998,900591.379
2015-03-01,3247,318591.0,16980.774999999998,917572.154
2015-04-01,2524,321115.0,12937.237000000001,930509.391
2015-05-01,2994,324109.0,15573.890000000001,946083.281
2015-06-01,2907,327016.0,15839.784999999998,961923.066
2015-07-01,3090,330106.0,16156.31,978079.376
2015-08-01,3001,333107.0,15225.974,993305.3500000001
2015-09-01,2826,335933.0,14588.908,1007894.2580000001
2015-10-01,2666,338599.0,15136.347,1023030.6050000001
2015-11-01,2727,341326.0,14145.558,1037176.1630000001
2015-12-01,2431,343757.0,13934.726,1051110.8890000002
2016-01-01,1744,345501.0,9346.931999999999,1060457.8210000002
2016-02-01,2426,347927.0,13439.217,1073897.0380000002
2016-03-01,2424,350351.0,13211.108,1087108.1460000002
2016-04-01,2385,352736.0,13549.322,1100657.468
2016-05-01,2431,355167.0,14394.037,1115051.5050000001
2016-06-01,2259,357426.0,12943.632999999998,1127995.138
2016-07-01,2290,359716.0,13292.475999999999,1141287.614
2016-08-01,2700,362416.0,14619.415,1155907.029
2016-09-01,2594,365010.0,14822.668,1170729.6970000002
2016-10-01,2553,367563.0,14708.095,1185437.7920000001
2016-11-01,3238,370801.0,17142.625,1202580.4170000001
2016-12-01,3425,374226.0,21998.354,1224578.7710000002
2017-01-01,2356,376582.0,11649.152,1236227.9230000002
2017-02-01,3354,379936.0,16839.993,1253067.9160000002
